left,top,width,height,ca,no,tr,fr
620,221,407,186,airplane,1,ryminus,97
739,163,273,363,airplane,1,ryminus,103
761,190,254,385,airplane,1,ryminus,109
654,230,351,332,airplane,1,ryminus,115
661,277,317,243,airplane,1,ryminus,121
672,267,312,227,airplane,1,ryminus,127
642,339,330,194,airplane,1,ryplus,1
711,260,341,250,airplane,1,ryplus,7
730,218,307,346,airplane,1,ryplus,13
808,346,140,320,airplane,1,ryplus,19
749,287,299,277,airplane,1,ryplus,25
719,302,349,221,airplane,1,ryplus,31
674,289,365,273,airplane,1,ryplus,37
787,249,292,388,airplane,1,ryplus,43
760,242,275,359,airplane,1,ryplus,49
748,339,324,263,airplane,1,ryplus,55
731,359,350,204,airplane,1,ryplus,61
736,261,305,297,airplane,1,ryplus,67
788,274,198,345,airplane,1,ryplus,73
747,267,267,381,airplane,1,ryplus,79
700,332,336,213,airplane,1,ryplus,85
722,285,367,275,airplane,1,ryplus,91
713,292,354,343,airplane,1,ryplus,97
779,257,216,395,airplane,1,ryplus,103
768,296,276,264,airplane,1,ryplus,109
679,286,364,226,airplane,1,ryplus,115
633,245,415,237,airplane,1,ryplus,121
543,410,369,188,airplane,1,rzminus,1
678,369,372,186,airplane,1,rzminus,7
571,316,433,186,airplane,1,rzminus,13
577,265,501,239,airplane,1,rzminus,19
764,283,351,237,airplane,1,rzminus,25
583,292,403,232,airplane,1,rzminus,31
585,300,364,235,airplane,1,rzminus,37
653,336,320,205,airplane,1,rzminus,43
535,320,495,223,airplane,1,rzminus,49
527,324,499,235,airplane,1,rzminus,55
608,328,376,209,airplane,1,rzminus,61
534,338,401,203,airplane,1,rzminus,67
579,319,417,191,airplane,1,rzminus,73
513,253,478,214,airplane,1,rzminus,79
588,234,473,219,airplane,1,rzminus,85
607,219,372,230,airplane,1,rzminus,91
616,258,406,204,airplane,1,rzminus,97
641,211,420,238,airplane,1,rzminus,103
505,233,507,258,airplane,1,rzminus,109
677,253,296,205,airplane,1,rzminus,115
583,217,414,263,airplane,1,rzminus,121
647,278,365,203,airplane,1,rzminus,127
624,252,390,207,airplane,1,rzplus,1
727,278,378,226,airplane,1,rzplus,7
665,229,443,205,airplane,1,rzplus,13
674,243,513,222,airplane,1,rzplus,19
637,138,488,286,airplane,1,rzplus,25
674,221,408,237,airplane,1,rzplus,31
721,188,396,255,airplane,1,rzplus,37
744,268,440,300,airplane,1,rzplus,43
647,263,234,149,airplane,1,rzplus,49
622,229,345,241,airplane,1,rzplus,55
472,281,500,209,airplane,1,rzplus,61
607,259,399,222,airplane,1,rzplus,67
705,221,396,232,airplane,1,rzplus,73
678,212,338,218,airplane,1,rzplus,79
630,221,542,254,airplane,1,rzplus,85
723,207,408,241,airplane,1,rzplus,91
702,178,419,265,airplane,1,rzplus,97
742,185,443,231,airplane,1,rzplus,103
712,190,545,293,airplane,1,rzplus,109
677,181,459,340,airplane,1,rzplus,115
785,329,355,196,airplane,1,rzplus,121
589,289,368,198,airplane,1,rzplus,127
551,408,509,261,airplane,2,rxminus,1
586,377,460,274,airplane,2,rxminus,7
530,282,569,398,airplane,2,rxminus,13
494,190,495,527,airplane,2,rxminus,19
488,152,527,677,airplane,2,rxminus,25
516,237,471,561,airplane,2,rxminus,31
460,276,525,387,airplane,2,rxminus,37
480,258,484,365,airplane,2,rxminus,43
427,96,575,652,airplane,2,rxminus,49
424,94,520,661,airplane,2,rxminus,55
425,253,568,433,airplane,2,rxminus,61
422,256,507,254,airplane,2,rxminus,67
424,80,544,558,airplane,2,rxminus,73
428,37,501,609,airplane,2,rxminus,79
429,50,477,672,airplane,2,rxminus,85
422,248,463,258,airplane,2,rxminus,91
407,247,525,249,airplane,2,rxminus,97
415,256,482,284,airplane,2,rxminus,103
394,57,540,626,airplane,2,rxminus,109
411,79,483,664,airplane,2,rxminus,115
392,269,531,341,airplane,2,rxminus,121
382,297,480,264,airplane,2,rxminus,127
648,418,440,235,airplane,2,rxplus,1
585,350,467,282,airplane,2,rxplus,7
548,411,480,284,airplane,2,rxplus,13
558,406,426,399,airplane,2,rxplus,19
507,311,452,522,airplane,2,rxplus,25
510,236,442,577,airplane,2,rxplus,31
497,285,461,423,airplane,2,rxplus,37
530,426,473,211,airplane,2,rxplus,43
479,373,501,360,airplane,2,rxplus,49
535,281,451,539,airplane,2,rxplus,55
538,243,483,512,airplane,2,rxplus,61
512,415,450,242,airplane,2,rxplus,67
505,425,469,240,airplane,2,rxplus,73
517,403,464,308,airplane,2,rxplus,79
501,352,474,427,airplane,2,rxplus,85
485,302,484,547,airplane,2,rxplus,91
445,194,515,642,airplane,2,rxplus,97
473,223,497,531,airplane,2,rxplus,103
458,365,523,264,airplane,2,rxplus,109
445,370,539,384,airplane,2,rxplus,115
472,261,448,627,airplane,2,rxplus,121
391,160,549,655,airplane,2,rxplus,127
426,412,505,230,airplane,2,rxplus,133
632,359,442,213,airplane,2,ryminus,1
601,229,376,325,airplane,2,ryminus,7
601,191,318,405,airplane,2,ryminus,13
588,209,204,448,airplane,2,ryminus,19
384,243,430,380,airplane,2,ryminus,25
400,288,449,227,airplane,2,ryminus,31
484,255,418,284,airplane,2,ryminus,37
541,200,204,404,airplane,2,ryminus,43
534,170,244,438,airplane,2,ryminus,49
418,181,381,349,airplane,2,ryminus,55
357,268,472,223,airplane,2,ryminus,61
389,242,472,313,airplane,2,ryminus,67
445,248,421,352,airplane,2,ryminus,73
501,230,326,422,airplane,2,ryminus,79
556,209,219,465,airplane,2,ryminus,85
455,152,327,438,airplane,2,ryminus,91
364,229,414,337,airplane,2,ryminus,97
432,318,468,219,airplane,2,ryminus,103
442,335,413,330,airplane,2,ryminus,109
480,258,406,489,airplane,2,ryminus,115
450,152,291,451,airplane,2,ryminus,121
356,177,504,309,airplane,2,ryminus,127
421,249,557,259,airplane,2,ryminus,133
596,158,424,311,airplane,2,ryplus,1
563,135,480,279,airplane,2,ryplus,7
636,81,358,415,airplane,2,ryplus,13
596,54,338,461,airplane,2,ryplus,19
629,89,365,499,airplane,2,ryplus,25
567,130,420,372,airplane,2,ryplus,31
465,179,469,294,airplane,2,ryplus,37
390,176,519,304,airplane,2,ryplus,43
432,133,443,315,airplane,2,ryplus,49
418,90,461,505,airplane,2,ryplus,55
609,86,268,479,airplane,2,ryplus,61
614,119,360,388,airplane,2,ryplus,67
544,157,473,254,airplane,2,ryplus,73
493,142,507,351,airplane,2,ryplus,79
597,100,332,420,airplane,2,ryplus,85
601,100,319,497,airplane,2,ryplus,91
586,98,333,561,airplane,2,ryplus,97
623,157,352,398,airplane,2,ryplus,103
491,183,462,320,airplane,2,ryplus,109
455,232,454,249,airplane,2,ryplus,115
503,212,382,411,airplane,2,ryplus,121
714,152,282,454,airplane,2,ryplus,127
645,345,412,223,airplane,2,rzminus,1
631,382,407,203,airplane,2,rzminus,7
452,355,495,253,airplane,2,rzminus,13
424,301,628,276,airplane,2,rzminus,19
450,284,615,229,airplane,2,rzminus,25
509,262,548,250,airplane,2,rzminus,31
391,194,549,298,airplane,2,rzminus,37
404,208,601,291,airplane,2,rzminus,43
463,222,507,304,airplane,2,rzminus,49
439,285,639,237,airplane,2,rzminus,55
441,217,577,341,airplane,2,rzminus,61
402,224,594,365,airplane,2,rzminus,67
419,245,547,297,airplane,2,rzminus,73
494,213,553,290,airplane,2,rzminus,79
313,218,725,303,airplane,2,rzminus,85
392,235,677,286,airplane,2,rzminus,91
465,248,606,381,airplane,2,rzminus,97
453,266,591,294,airplane,2,rzminus,103
415,243,537,315,airplane,2,rzminus,109
206,214,777,350,airplane,2,rzminus,115
333,248,566,311,airplane,2,rzminus,121
738,471,409,309,airplane,2,rzplus,1
777,468,406,221,airplane,2,rzplus,7
716,436,652,243,airplane,2,rzplus,13
740,467,686,257,airplane,2,rzplus,19
712,428,556,280,airplane,2,rzplus,25
501,412,573,309,airplane,2,rzplus,31
509,401,617,323,airplane,2,rzplus,37
617,419,476,276,airplane,2,rzplus,43
666,395,671,308,airplane,2,rzplus,49
629,381,697,313,airplane,2,rzplus,55
694,375,570,240,airplane,2,rzplus,61
671,348,539,256,airplane,2,rzplus,67
614,399,580,307,airplane,2,rzplus,73
631,420,703,301,airplane,2,rzplus,79
724,424,579,321,airplane,2,rzplus,85
780,388,576,297,airplane,2,rzplus,91
633,364,483,277,airplane,2,rzplus,97
704,297,630,329,airplane,2,rzplus,103
610,378,604,293,airplane,2,rzplus,109
505,357,691,293,airplane,2,rzplus,115
688,355,595,285,airplane,2,rzplus,121
228,471,1600,475,airplane,3,rxminus,1
167,519,1623,473,airplane,3,rxminus,7
90,428,1664,552,airplane,3,rxminus,13
103,170,1621,850,airplane,3,rxminus,19
126,191,1590,889,airplane,3,rxminus,25
35,402,1699,678,airplane,3,rxminus,31
57,530,1694,550,airplane,3,rxminus,37
40,659,1740,415,airplane,3,rxminus,43
153,577,1649,503,airplane,3,rxminus,49
83,277,1787,803,airplane,3,rxminus,55
0,132,1877,948,airplane,3,rxminus,61
70,302,1719,778,airplane,3,rxminus,67
61,435,1697,627,airplane,3,rxminus,73
143,315,1612,611,airplane,3,rxminus,79
117,125,1542,884,airplane,3,rxminus,85
143,157,1508,902,airplane,3,rxminus,91
113,463,1516,610,airplane,3,rxminus,97
19,556,1778,520,airplane,3,rxminus,103
82,643,1694,437,airplane,3,rxminus,109
116,403,1774,677,airplane,3,rxminus,115
107,143,1745,937,airplane,3,rxminus,121
110,389,1665,686,airplane,3,rxminus,127
73,424,1749,493,airplane,3,rxminus,133
134,350,1647,509,airplane,3,rxminus,139
125,395,1634,449,airplane,3,rxplus,1
29,394,1748,567,airplane,3,rxplus,7
38,323,1723,755,airplane,3,rxplus,13
52,165,1657,915,airplane,3,rxplus,19
4,29,1826,1051,airplane,3,rxplus,25
0,590,1761,484,airplane,3,rxplus,31
1,680,1717,400,airplane,3,rxplus,37
26,625,1654,453,airplane,3,rxplus,43
54,238,1557,842,airplane,3,rxplus,49
29,145,1651,885,airplane,3,rxplus,55
0,476,1736,515,airplane,3,rxplus,61
7,469,1700,509,airplane,3,rxplus,67
47,249,1738,830,airplane,3,rxplus,73
100,212,1734,854,airplane,3,rxplus,79
4,526,1729,554,airplane,3,rxplus,85
9,668,1803,407,airplane,3,rxplus,91
24,657,1664,420,airplane,3,rxplus,97
43,563,1595,517,airplane,3,rxplus,103
69,186,1584,894,airplane,3,rxplus,109
48,254,1629,734,airplane,3,rxplus,115
79,462,1673,521,airplane,3,rxplus,121
35,500,1716,521,airplane,3,rxplus,127
71,458,1711,463,airplane,3,rxplus,133
93,96,1718,498,airplane,3,ryminus,1
121,0,1713,632,airplane,3,ryminus,7
378,0,1105,1004,airplane,3,ryminus,13
660,0,587,1080,airplane,3,ryminus,19
130,6,1147,1074,airplane,3,ryminus,25
134,4,1534,794,airplane,3,ryminus,31
46,85,1693,882,airplane,3,ryminus,37
48,151,1872,844,airplane,3,ryminus,43
323,0,975,930,airplane,3,ryminus,49
586,0,615,1049,airplane,3,ryminus,55
525,25,855,1055,airplane,3,ryminus,61
167,0,1566,868,airplane,3,ryminus,67
32,16,1821,563,airplane,3,ryminus,73
277,0,1542,843,airplane,3,ryminus,79
728,15,656,1064,airplane,3,ryminus,85
282,0,1387,1080,airplane,3,ryminus,91
12,87,1894,766,airplane,3,ryminus,97
60,49,1769,933,airplane,3,ryminus,103
644,0,853,1069,airplane,3,ryminus,109
806,7,831,1052,airplane,3,ryminus,115
135,0,1744,687,airplane,3,ryminus,121
109,34,1811,521,airplane,3,ryminus,127
0,0,1394,438,airplane,3,ryplus,1
6,29,1456,460,airplane,3,ryplus,7
6,5,1404,644,airplane,3,ryplus,13
302,0,967,998,airplane,3,ryplus,19
530,11,595,1069,airplane,3,ryplus,25
441,0,1025,1059,airplane,3,ryplus,31
150,0,1244,1002,airplane,3,ryplus,37
61,146,1672,736,airplane,3,ryplus,43
0,32,1603,994,airplane,3,ryplus,49
2,1,1226,1077,airplane,3,ryplus,55
358,4,656,1076,airplane,3,ryplus,61
246,2,1197,841,airplane,3,ryplus,67
134,0,1739,606,airplane,3,ryplus,73
34,185,1802,532,airplane,3,ryplus,79
183,2,1355,993,airplane,3,ryplus,85
392,1,1048,1079,airplane,3,ryplus,91
666,2,661,1078,airplane,3,ryplus,97
457,3,1127,1077,airplane,3,ryplus,103
47,285,1713,795,airplane,3,ryplus,109
0,92,1601,988,airplane,3,ryplus,115
72,0,1139,1076,airplane,3,ryplus,121
606,0,755,1080,airplane,3,ryplus,127
354,8,1566,659,airplane,3,ryplus,133
36,115,1588,464,airplane,3,rzminus,1
113,70,1563,508,airplane,3,rzminus,7
302,23,1560,606,airplane,3,rzminus,13
142,0,1701,601,airplane,3,rzminus,19
0,0,1743,497,airplane,3,rzminus,25
0,0,1487,504,airplane,3,rzminus,31
0,0,1561,521,airplane,3,rzminus,37
0,0,1687,519,airplane,3,rzminus,43
59,170,1283,393,airplane,3,rzminus,49
255,166,1250,581,airplane,3,rzminus,55
0,115,1782,695,airplane,3,rzminus,61
0,126,1658,487,airplane,3,rzminus,67
0,56,1656,586,airplane,3,rzminus,73
0,0,1561,687,airplane,3,rzminus,79
0,7,1450,690,airplane,3,rzminus,85
0,0,1513,869,airplane,3,rzminus,91
0,30,1403,604,airplane,3,rzminus,97
4,67,1578,625,airplane,3,rzminus,103
0,135,1541,550,airplane,3,rzminus,109
3,63,1401,734,airplane,3,rzminus,115
0,117,1310,615,airplane,3,rzminus,121
0,108,1477,556,airplane,3,rzminus,127
0,44,1575,498,airplane,3,rzminus,133
58,116,1664,452,airplane,3,rzplus,1
0,140,1705,452,airplane,3,rzplus,7
14,145,1685,489,airplane,3,rzplus,13
333,251,1309,366,airplane,3,rzplus,19
68,202,1431,388,airplane,3,rzplus,25
187,50,1718,612,airplane,3,rzplus,31
95,70,1825,572,airplane,3,rzplus,37
103,7,1683,589,airplane,3,rzplus,43
61,0,1579,582,airplane,3,rzplus,49
102,0,1733,610,airplane,3,rzplus,55
59,0,1827,704,airplane,3,rzplus,61
304,0,1606,638,airplane,3,rzplus,67
19,3,1896,670,airplane,3,rzplus,73
0,1,1823,554,airplane,3,rzplus,79
130,0,1790,609,airplane,3,rzplus,85
403,0,1378,530,airplane,3,rzplus,91
410,73,1507,440,airplane,3,rzplus,97
287,10,1632,508,airplane,3,rzplus,103
131,5,1685,594,airplane,3,rzplus,109
214,0,1561,584,airplane,3,rzplus,115
239,79,1681,574,airplane,3,rzplus,121
377,13,1518,582,airplane,3,rzplus,127
492,504,496,163,airplane,4,rxminus,1
495,493,480,157,airplane,4,rxminus,7
493,488,471,155,airplane,4,rxminus,13
480,476,512,182,airplane,4,rxminus,19
466,418,482,258,airplane,4,rxminus,25
465,401,507,319,airplane,4,rxminus,31
435,448,535,317,airplane,4,rxminus,37
376,689,490,208,airplane,4,rxminus,43
234,473,920,286,airplane,4,rxminus,49
500,453,452,314,airplane,4,rxminus,55
484,458,463,320,airplane,4,rxminus,61
475,511,481,176,airplane,4,rxminus,67
468,497,397,196,airplane,4,rxminus,73
344,471,650,257,airplane,4,rxminus,79
393,391,576,357,airplane,4,rxminus,85
363,470,549,235,airplane,4,rxminus,91
367,504,549,171,airplane,4,rxminus,97
327,495,536,166,airplane,4,rxminus,103
428,417,439,339,airplane,4,rxminus,109
462,464,445,252,airplane,4,rxminus,115
410,474,504,202,airplane,4,rxminus,121
503,557,530,161,airplane,4,rxminus,127
429,540,483,152,airplane,4,rxplus,1
425,553,459,151,airplane,4,rxplus,7
416,493,490,253,airplane,4,rxplus,13
435,452,518,315,airplane,4,rxplus,19
455,503,479,201,airplane,4,rxplus,25
410,546,584,312,airplane,4,rxplus,31
357,521,647,289,airplane,4,rxplus,37
389,509,515,281,airplane,4,rxplus,43
383,471,504,326,airplane,4,rxplus,49
382,519,508,189,airplane,4,rxplus,55
392,535,491,140,airplane,4,rxplus,61
336,505,582,177,airplane,4,rxplus,67
330,397,550,329,airplane,4,rxplus,73
313,414,627,303,airplane,4,rxplus,79
330,492,517,160,airplane,4,rxplus,85
296,468,617,186,airplane,4,rxplus,91
342,381,534,343,airplane,4,rxplus,97
301,316,678,354,airplane,4,rxplus,103
330,398,571,202,airplane,4,rxplus,109
299,370,578,264,airplane,4,rxplus,115
362,370,593,244,airplane,4,rxplus,121
505,392,420,153,airplane,4,ryminus,1
494,328,363,268,airplane,4,ryminus,7
527,331,262,400,airplane,4,ryminus,13
480,375,260,449,airplane,4,ryminus,19
319,503,474,173,airplane,4,ryminus,25
413,463,451,182,airplane,4,ryminus,31
424,464,404,253,airplane,4,ryminus,37
468,226,151,444,airplane,4,ryminus,43
345,289,363,363,airplane,4,ryminus,49
292,426,559,157,airplane,4,ryminus,55
407,341,436,273,airplane,4,ryminus,61
460,289,172,441,airplane,4,ryminus,67
258,285,385,362,airplane,4,ryminus,73
328,369,429,201,airplane,4,ryminus,79
401,439,390,170,airplane,4,ryminus,85
353,376,444,260,airplane,4,ryminus,91
416,303,373,367,airplane,4,ryminus,97
361,216,379,597,airplane,4,ryminus,103
380,161,327,547,airplane,4,ryminus,109
211,359,502,160,airplane,4,ryminus,115
175,335,593,293,airplane,4,ryminus,121
557,456,535,119,airplane,4,ryplus,1
587,368,423,172,airplane,4,ryplus,7
668,264,329,355,airplane,4,ryplus,13
792,202,152,452,airplane,4,ryplus,19
761,240,294,364,airplane,4,ryplus,25
701,301,412,321,airplane,4,ryplus,31
675,422,440,178,airplane,4,ryplus,37
638,448,421,199,airplane,4,ryplus,43
684,368,264,362,airplane,4,ryplus,49
669,390,295,408,airplane,4,ryplus,55
823,383,251,275,airplane,4,ryplus,61
563,414,592,205,airplane,4,ryplus,67
699,265,322,418,airplane,4,ryplus,73
794,265,156,512,airplane,4,ryplus,79
791,248,163,492,airplane,4,ryplus,85
721,397,408,196,airplane,4,ryplus,91
565,493,691,186,airplane,4,ryplus,97
643,405,342,383,airplane,4,ryplus,103
782,433,184,465,airplane,4,ryplus,109
733,499,450,304,airplane,4,ryplus,115
478,453,454,191,airplane,4,rzminus,1
538,505,413,151,airplane,4,rzminus,7
627,439,303,204,airplane,4,rzminus,13
602,429,377,210,airplane,4,rzminus,19
529,414,416,293,airplane,4,rzminus,25
533,443,305,169,airplane,4,rzminus,31
467,441,473,188,airplane,4,rzminus,37
422,441,565,178,airplane,4,rzminus,43
484,448,439,172,airplane,4,rzminus,49
513,386,319,233,airplane,4,rzminus,55
439,425,396,163,airplane,4,rzminus,61
421,448,397,123,airplane,4,rzminus,67
230,447,548,168,airplane,4,rzminus,73
248,420,463,194,airplane,4,rzminus,79
314,445,438,185,airplane,4,rzminus,85
428,456,343,152,airplane,4,rzminus,91
232,436,436,193,airplane,4,rzminus,97
290,505,520,137,airplane,4,rzminus,103
333,470,558,176,airplane,4,rzminus,109
287,435,514,203,airplane,4,rzminus,115
378,456,366,210,airplane,4,rzminus,121
198,453,565,161,airplane,4,rzminus,127
637,424,433,196,airplane,4,rzplus,1
631,448,363,107,airplane,4,rzplus,7
677,511,286,111,airplane,4,rzplus,13
681,546,253,114,airplane,4,rzplus,19
629,514,400,155,airplane,4,rzplus,25
661,536,460,176,airplane,4,rzplus,31
615,546,429,152,airplane,4,rzplus,37
602,536,438,140,airplane,4,rzplus,43
638,526,393,167,airplane,4,rzplus,49
716,526,325,151,airplane,4,rzplus,55
663,574,403,129,airplane,4,rzplus,61
563,561,458,160,airplane,4,rzplus,67
540,539,475,178,airplane,4,rzplus,73
617,563,372,193,airplane,4,rzplus,79
638,579,334,261,airplane,4,rzplus,85
587,572,301,186,airplane,4,rzplus,91
634,572,424,203,airplane,4,rzplus,97
595,594,462,192,airplane,4,rzplus,103
601,619,338,169,airplane,4,rzplus,109
629,602,376,200,airplane,4,rzplus,115
576,583,376,161,airplane,4,rzplus,121
583,561,510,152,airplane,4,rzplus,127
234,479,1680,467,airplane,5,rxminus,1
220,0,1700,835,airplane,5,rxminus,7
153,2,1362,1078,airplane,5,rxminus,13
299,1,1364,1079,airplane,5,rxminus,19
329,16,1283,1064,airplane,5,rxminus,25
275,281,1535,799,airplane,5,rxminus,31
299,513,1474,533,airplane,5,rxminus,37
286,211,1508,569,airplane,5,rxminus,43
320,2,1422,1067,airplane,5,rxminus,49
249,6,1495,1074,airplane,5,rxminus,55
311,1,1498,1067,airplane,5,rxminus,61
304,248,1600,378,airplane,5,rxminus,67
278,5,1581,978,airplane,5,rxminus,73
328,1,1357,1079,airplane,5,rxminus,79
362,323,1527,757,airplane,5,rxminus,85
311,0,1524,1012,airplane,5,rxminus,91
204,10,1716,1062,airplane,5,rxminus,97
343,197,1569,647,airplane,5,rxminus,103
372,246,1548,344,airplane,5,rxminus,109
293,272,1619,511,airplane,5,rxplus,1
389,242,1513,838,airplane,5,rxplus,7
402,62,1517,1013,airplane,5,rxplus,13
390,0,1484,1077,airplane,5,rxplus,19
300,17,1529,1063,airplane,5,rxplus,25
329,2,1500,1078,airplane,5,rxplus,31
368,1,1552,957,airplane,5,rxplus,37
369,538,1551,540,airplane,5,rxplus,43
360,180,1491,900,airplane,5,rxplus,49
255,16,1504,1056,airplane,5,rxplus,55
180,5,1604,1063,airplane,5,rxplus,61
164,0,1634,1064,airplane,5,rxplus,67
151,0,1764,1040,airplane,5,rxplus,73
195,488,1695,587,airplane,5,rxplus,79
198,9,1609,1071,airplane,5,rxplus,85
167,558,1751,522,airplane,5,rxplus,91
55,170,1865,910,airplane,5,rxplus,97
297,11,1301,1069,airplane,5,rxplus,103
289,0,1402,1080,airplane,5,rxplus,109
242,320,1534,646,airplane,5,rxplus,115
162,359,1758,721,airplane,5,ryminus,1
330,363,1590,478,airplane,5,ryminus,7
303,253,1617,606,airplane,5,ryminus,13
589,1,1331,1079,airplane,5,ryminus,19
703,4,962,1075,airplane,5,ryminus,25
759,0,391,1080,airplane,5,ryminus,31
69,126,1496,759,airplane,5,ryminus,37
0,331,1620,749,airplane,5,ryminus,43
824,50,569,1027,airplane,5,ryminus,49
742,13,543,1067,airplane,5,ryminus,55
312,252,1518,821,airplane,5,ryminus,61
314,268,1606,463,airplane,5,ryminus,67
637,3,960,1077,airplane,5,ryminus,73
552,0,844,1079,airplane,5,ryminus,79
0,287,1665,503,airplane,5,ryminus,85
0,132,1605,948,airplane,5,ryminus,91
590,0,664,1073,airplane,5,ryminus,97
567,9,1213,1071,airplane,5,ryminus,103
333,335,1587,537,airplane,5,ryminus,109
412,300,1508,522,airplane,5,ryminus,115
301,461,1619,392,airplane,5,ryplus,1
273,433,1641,394,airplane,5,ryplus,7
305,481,1615,559,airplane,5,ryplus,13
361,236,1419,844,airplane,5,ryplus,19
622,18,955,1062,airplane,5,ryplus,25
791,7,498,1073,airplane,5,ryplus,31
718,65,1042,1014,airplane,5,ryplus,37
129,275,1585,722,airplane,5,ryplus,43
125,394,1605,467,airplane,5,ryplus,49
209,65,1403,1015,airplane,5,ryplus,55
814,1,450,1079,airplane,5,ryplus,61
524,204,1396,871,airplane,5,ryplus,67
299,415,1572,595,airplane,5,ryplus,73
585,0,844,1080,airplane,5,ryplus,79
253,142,1299,938,airplane,5,ryplus,85
90,158,1566,582,airplane,5,ryplus,91
326,0,976,1007,airplane,5,ryplus,97
636,5,1054,991,airplane,5,ryplus,103
190,502,1703,447,airplane,5,rzminus,1
270,506,1640,561,airplane,5,rzminus,7
2,532,1843,543,airplane,5,rzminus,13
2,545,1918,535,airplane,5,rzminus,19
7,365,1905,536,airplane,5,rzminus,25
58,457,1471,345,airplane,5,rzminus,31
10,490,1655,344,airplane,5,rzminus,37
0,508,1710,391,airplane,5,rzminus,43
0,404,1864,557,airplane,5,rzminus,49
302,521,1618,403,airplane,5,rzminus,55
199,479,1719,365,airplane,5,rzminus,61
292,404,1620,443,airplane,5,rzminus,67
1,300,1873,617,airplane,5,rzminus,73
154,318,1766,485,airplane,5,rzminus,79
133,483,1537,331,airplane,5,rzminus,85
5,403,1734,383,airplane,5,rzminus,91
78,294,1842,602,airplane,5,rzminus,97
344,329,1576,294,airplane,5,rzminus,103
350,278,1570,290,airplane,5,rzminus,109
223,575,1524,373,airplane,5,rzplus,1
93,519,1725,392,airplane,5,rzplus,7
304,578,1616,423,airplane,5,rzplus,13
54,612,1866,398,airplane,5,rzplus,19
17,508,1766,386,airplane,5,rzplus,25
0,501,1914,363,airplane,5,rzplus,31
289,531,1533,503,airplane,5,rzplus,37
135,529,1785,499,airplane,5,rzplus,43
10,522,1910,558,airplane,5,rzplus,49
415,468,1497,533,airplane,5,rzplus,55
455,557,1465,499,airplane,5,rzplus,61
420,450,1500,495,airplane,5,rzplus,67
73,531,1847,427,airplane,5,rzplus,73
0,417,1757,315,airplane,5,rzplus,79
291,439,1553,371,airplane,5,rzplus,85
309,395,1611,378,airplane,5,rzplus,91
2,155,1918,816,airplane,5,rzplus,97
260,208,1659,691,airplane,5,rzplus,103
519,262,1401,567,airplane,5,rzplus,109
462,352,1458,354,airplane,5,rzplus,115
438,295,1482,412,airplane,5,rzplus,121
82,284,939,336,airplane,6,rxminus,1
34,321,940,318,airplane,6,rxminus,7
0,96,961,650,airplane,6,rxminus,13
0,45,950,885,airplane,6,rxminus,19
5,165,960,776,airplane,6,rxminus,25
0,219,1026,532,airplane,6,rxminus,31
